#Manually made lookup from author provided info to the canonical institute name.,
#The order matters here, the matching starts at the top of the list and stops when something is found.
#Ignore The, so The University of Bristol is University of Bristol.
#Group alphabetically by the main name, so all variations of Bristol should be in B.
#,
#Do email addresses first - they are much more structured than postal addresses, and usually people have one.
anu.edu.au,Australian National University
bahcesehir.edu.tr,Bahçeşehir University
bathspa.ac.uk,Bath Spa University
bthft.nhs.uk,Bradford Royal Infirmary
uni-bremen.de,University of Bremen
bbk.ac.uk,"Birkbeck, University of London"
bristol.ac.uk,University of Bristol
bris.ac.uk,University of Bristol
brown.edu,Brown University
bpmf.ac.uk,University College London
bre.co.uk,Building Research Establishment
brocku.ca,Brock University
bgsu.edu,Bowling Green State University
cam.ac.uk,University of Cambridge
cardiff.ac,Cardiff University
chop.edu,The Children's Hospital of Philadelphia
city.ac.uk,"City, University of London"
cmuh.org.tw,China Medical University Hospital
durham.ac.uk,Durham University
dartmouth.edu,Dartmouth College
edgehill.ac.uk,Edge Hill University
ex.ac.uk,University of Essex
ehesp.fr,"EHESP"
einstein.yu.edu,Albert Einstein College of Medicine
emory.edu,Emory University
erasmusmc.nl,Erasmus University Medical Center
eurac.edu,European Academy of Bozen
ghc.org,Group Health Cooperative
gla.ac.uk,University of Glasgow
harvard.edu,Harvard University
helmholtz-muenchen.de,Helmholtz Zentrum München
helmholtzmuenchen.de,Helmholtz Zentrum München
hitachi.com,Hitachi
hua.gr,Harokopio University of Athens
iarc.fr,International Agency for Research on Cancer
idc.ac.il,Interdisciplinary Center Herzliya
inserm.fr,Centre for research in epidemiology and population health
jhsph.edu,Johns Hopkins University
jhmi.edu,Johns Hopkins University
kcl.ac.uk,King's College London
ki.se,Karolinska Institute
kuleuven.be,KU Leuven
landspitali.is,Landspitali-University Hospital
leeds.ac.uk,University of Leeds
liverpool.ac.uk,University of Liverpool
liv.ac.uk,University of Liverpool
lrz.tum.de,Technical University of Munich
lse.ac.uk,London School of Economics and Political Science
lshtm.ac.uk,London School of Hygiene & Tropical Medicine
leedsmh.nhs.uk,Leeds Community Healthcare NHS Trust
nccs.com.sg,"National Cancer Centre, Singapore"
nida.nih.gov,National Institute on Drug Abuse
niehs.nih.gov,National Institute of Environmental Health Sciences
nshd.mrc.ac.uk,"University College London"
nottingham.ac.uk,University of Nottingham
northlandsrnd.org.uk,Northlands Surgery
nrc.ca,National Research Council of Canada
open.ac.uk,The Open University
orebroll.se,Örebro University
osu.edu,Ohio State University
otago.ac.nz,University of Otago
oxford.ac.uk,University of Oxford
ox.ac.uk,University of Oxford
pasteur-lille.fr,University of Lille
pds.ac.uk,Peninsula College of Medicine and Dentistry
qimrberghofer.edu.au,QIMR Berghofer Medical Research Institute
qmw.ac.uk,"Queen Mary University of London"
qmul,"Queen Mary University of London"
qub.ac.uk,"Queen's University Belfast"
sanger.ac.uk,Wellcome Sanger Institute
soton.ac.uk,University of Southampton
sghms.ac.uk,St George's Hospital
sgul.ac.uk,St George's Hospital
speech-therapy.org.uk,Southmead Hospital
ssi.dk,Statens Serum Institut
temple.edu,Temple University
turningpoint.org.au,Turning Point Alcohol and Drug Centre
uth.tmc.edu,The University of Texas Health Science Center at Houston
uchicago.edu,University of Chicago
ucl.ac.uk,University College London
uga.edu,University of Georgia
ulg.ac.be,University of Liege
uib.no,University of Bergen
umcg.nl,University of Groningen
umontreal.ca,Université de Montréal
uni-bonn.de,University of Bonn
uni.wroc.pl,University of Wrocław
