original address,latitude,longitude
23andme,37.418977,-122.077228
Addenbrooke's Hospital,52.174791,0.140394
Albert Einstein College of Medicine,40.850827,-73.845623
Birbeck,40.176981,-88.86841
Blackpool Royal Victoria Hospital,53.817505,-3.035675
Boston University,42.3505,-71.105399
Brunel University,51.532848,-0.472855
Cardiff University,51.486627,-3.178864
City University,51.527738,-0.102336
Deakin University,-38.197622,144.297515
DeMontfort University,52.629132,-1.139768
East Leeds Primary Care Trust,53.800755,-1.549077
Emory University,33.79252,-84.323999
Erasmus Medical Center,51.909806,4.46692
Federal University of Pelotas,-31.781431,-52.323364
Frenchay Speech and Language Therapy Unit,51.49994,-2.547272
Goldsmiths College,51.474982,-0.037137
Harokopio University,37.961092,23.708382
Harvard University,42.377003,-71.11666
Hong Kong Polytechnic University,22.30455,114.1797
Imperial College London,51.4988,-0.174877
Indiana University,39.169136,-86.514905
Institute of Education,51.522987,-0.127968
Johns Hopkins University,39.324928,-76.623354
King's College London,51.503335,-0.08974
Kingston University,51.403516,-0.303725
Lancaster University,54.010394,-2.787729
London Metropolitan University,51.552016,-0.11102
London School of Hygiene and Tropical Medicine,51.520614,-0.130021
McGill University,45.504785,-73.577151
MRC Epidemiology Unit Cambridge,42.373616,-71.109733
National Institute of Environmental Health Sciences,35.88373,-78.883166
New York University,40.729513,-73.996461
Newcastle University,54.979187,-1.614661
NIH National Institute of Environmental Sciences,35.884053,-78.883841
NIH National Institute on Alcohol Abuse and Alcoholism,39.00108,-77.100415
Peninsula College of Medicine and Dentistry,50.415735,-4.110571
Plymouth Unviersity,50.375715,-4.13928
Queen Mary University of London,51.524067,-0.040374
Queens University Belfast,54.583926,-5.932587
Ragensburg University Medical Centre,48.99945,12.0932
Sanger Institute,52.078972,0.187583
Southmead Hospital,51.498698,-2.594275
St George's Hospital,51.426694,-0.174015
Syracuse University,43.039153,-76.135116
University College London,51.524559,-0.13404
University of Aberdeen,57.16476,-2.101526
University of Adelaide,-34.920603,138.606228
University of Alabama,33.214023,-87.539142
University of Amsterdam,52.355818,4.955726
University of Bath,51.377743,-2.326378
University of Birmingam,52.450817,-1.930513
University of Brighton,50.859087,-0.086689
University of Bristol,51.458417,-2.602979
University of California,34.413963,-119.848947
University of Cambridge,52.204267,0.114908
University of Chicago,41.529546,-88.134814
University of Coventry,52.407175,-1.503746
University of Dundee,56.458245,-2.982143
University of Durham,54.764986,-1.578203
University of East Anglia,52.621922,1.239176
University of Edinburgh,55.944516,-3.189241
University of Essex,51.877726,0.947207
University of Exeter,50.737137,-3.535147
University of Glasgow,55.872121,-4.288201
University of Groningen,53.219263,6.562987
University of Hong Kong,22.282999,114.137085
University of Iowa,41.662696,-91.5549
University of Leeds,53.806682,-1.555033
University of Leicester,52.621139,-1.124632
University of Liverpool,53.405936,-2.965572
University of Manchester,53.480759,-2.242631
University of Melbourne,-37.796369,144.961174
University of Munich,48.266149,11.671103
University of North Carolina,34.225775,-77.869774
University of Nottingham,52.938636,-1.195158
University of Oregon,44.04483,-123.072606
University of Oxford,51.756634,-1.254704
University of Queensland,-27.495431,153.01203
University of Rochester,43.130553,-77.626003
University of Saskatchewan,52.138997,-106.623678
University of Sheffield,53.380941,-1.487947
University of South Australia,-34.920165,138.606667
University of South Carolina,33.996112,-81.027428
University of Southampton,50.935742,-1.396638
University of Sterling,56.145967,-3.919791
University of Strathclyde,55.86242,-4.242588
University of Surrey,51.242722,-0.589514
University of Sydney,-33.888584,151.187347
University of Toronto,43.662892,-79.395656
University of Warwick,52.379253,-1.56147
University of the West of England,51.499873,-2.547994
University of York,53.945533,-1.056167
Universtiy of Oxford,51.756634,-1.254704
Virginia Commonwealth University,37.548987,-77.453429
VU University Amsterdam,52.333757,4.86572
Yale University,41.316324,-72.922343
